,id,Node_1,Node_2,is_atDRearOf,is_atSRearOf,is_inDFrontOf,is_inSFrontOf,is_isIn,is_toLeftOf,is_toRightOf,near_level,lane_id_diff,lane_id,lane_id_Node_2,Name,velocity_diff,abs_distance,abs_distance_level,equal_frequency_velocity_diff,equal_frequency_distance_difff
9216,"(17, 17791854)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-1,9.433981132056603,4,3,2
9217,"(17, 17791854)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-1,17.029386365926403,7,3,4
9218,"(17, 17791855)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-1,9.433981132056603,4,3,2
9219,"(17, 17791855)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-1,17.029386365926403,7,3,4
9220,"(17, 17791856)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-1,9.433981132056603,4,3,2
9221,"(17, 17791856)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-2,17.916472867168917,7,3,4
9222,"(17, 17791857)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-1,9.433981132056603,4,3,2
9223,"(17, 17791857)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-2,17.029386365926403,7,3,4
9224,"(17, 17791858)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,9.433981132056603,4,3,2
9225,"(17, 17791858)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-3,17.916472867168917,7,3,4
9226,"(17, 17791859)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-1,9.433981132056603,4,3,2
9227,"(17, 17791859)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-3,17.029386365926403,7,3,4
9228,"(17, 17791860)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,9.433981132056603,4,3,2
9229,"(17, 17791860)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-4,17.029386365926403,7,3,4
9230,"(17, 17791861)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,9.433981132056603,4,3,2
9231,"(17, 17791861)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-4,17.029386365926403,7,3,4
9232,"(17, 17791862)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-3,9.433981132056603,4,3,2
9233,"(17, 17791862)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-5,17.029386365926403,7,3,4
9234,"(17, 17791863)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,10.0,4,3,2
9235,"(17, 17791863)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-5,17.029386365926403,7,3,4
9236,"(17, 17791864)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,9.433981132056603,4,3,2
9237,"(17, 17791864)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-5,17.029386365926403,7,3,4
9238,"(17, 17791865)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-3,10.0,4,3,2
9239,"(17, 17791865)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-6,16.15549442140351,7,3,3
9240,"(17, 17791866)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-3,9.433981132056603,4,3,2
9241,"(17, 17791866)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-6,17.029386365926403,7,3,4
9242,"(17, 17791867)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,10.0,4,3,2
9243,"(17, 17791867)",car_5526,ego car,0,1,0,0,0,1,0,1,-2.0,3.0,5.0,car_5526,-6,16.15549442140351,7,3,3
9244,"(17, 17791868)",car_5468,ego car,1,0,0,0,0,1,0,3,-2.0,3.0,5.0,car_5468,-2,9.433981132056603,4,3,2
